,id,lat,lon,meaninterval,meanlikes,meandensity,likes/posts
186,484166,1.3191097,103.8633383,6145.712743,21.5,0.000162715,132132.824
187,484344,1.4043485,103.793023,5473.68497,52,0.000182692,284631.6185
188,486170,1.2525674,103.8158476,6145.111042,17.125,0.000162731,105235.0266
189,486797,1.310103,103.795201,78197.65,96.22222222,1.27881E-05,7524351.656
190,486992,1.311349,103.7951,4620.822121,76.63636364,0.000216412,354123.0044
191,487177,1.2975823,103.9002909,58371.93333,46.33333333,1.71315E-05,2704566.244
192,487714,1.3057844,103.8115116,5894.743333,13.8,0.000169643,81347.458
193,488113,1.385235,103.944566,6901.981481,14.77777778,0.000144886,101995.9486
194,492020,1.3807876,103.8272719,5265.928449,31.41666667,0.0001899,165437.9188
195,493368,1.373104,103.9494346,6667.660606,103.1818182,0.000149978,687981.3444
196,494360,1.3579607,103.8446895,12181.98056,30.16666667,8.20885E-05,367489.7468
197,495461,1.339671,103.706937,18599.53485,25.18181818,5.37648E-05,468370.1048
198,495520,1.3305269,103.8023527,4216.452778,54.91666667,0.000237166,231553.5317
199,495870,1.3046715,103.7804704,43059.10952,77.85714286,2.32239E-05,3352459.241
200,495877,1.3064237,103.7829042,10527.625,22.7,9.49882E-05,238977.0875
201,496268,1.2828215,103.8304188,5731.788889,29,0.000174466,166221.8778
202,496431,1.264002,103.812509,4569.592424,55.45454545,0.000218838,253404.6708
203,496682,1.390987,103.7487,4216.020833,90.33333333,0.00023719,380847.2153
204,497052,1.3345449,103.8099992,86462.82667,19.8,1.15657E-05,1711963.968
205,497712,1.2533453,103.8188978,4474.610833,47.18181818,0.000223483,211120.2748
206,498925,1.3426965,103.6821162,6909.444444,66.33333333,0.000144729,458326.4815
207,505238,1.3210265,103.8168366,7025.972063,33.71428571,0.000142329,236875.6296
208,507536,1.3117777,103.7597524,8204.867315,19.33333333,0.000121879,158627.4348
209,507835,1.305511,103.904622,4906.063258,82.45454545,0.000203829,404527.2159
210,508145,1.3953373,103.8870342,5710.165,134.1,0.000175126,765733.1265
211,508545,1.335835,103.80125,17171.23333,21.36363636,5.82369E-05,366839.9848
212,509407,1.305895,103.813621,4575.731944,31.75,0.000218544,145279.4892
213,509656,1.3061228,103.8117619,4925.464972,151.4,0.000203027,745715.3968
214,513478,1.2941664,103.7861271,4104.364028,103,0.000243643,422749.4949
215,514452,1.3343762,103.7795272,5629.387469,62.55555556,0.000177639,352149.4606
216,515592,1.3460219,103.8716052,5555.336543,13.77777778,0.000180007,76540.19237
217,515680,1.423933,103.8387,10278.85,24.41666667,9.72871E-05,250975.2542
218,516369,1.35012,103.74927,16119.43472,16.75,6.20369E-05,270000.5316
219,518953,1.303427,103.8093811,6209.916017,104,0.000161033,645831.2658
220,523052,1.3516881,103.9413248,4753.721338,43.27272727,0.000210362,205706.487
221,523386,1.3024042,103.8398215,7230.271212,34.54545455,0.000138307,249773.0055
222,524203,1.297027,103.8009083,5225.541667,49.5,0.000191368,258664.3125
223,524443,1.3090442,103.822834,6807.590083,25.8,0.000146895,175635.8242
224,524736,1.299322,103.822752,6078.159259,48.11111111,0.000164523,292426.9955
225,525023,1.3422585,103.6797746,5195.696667,118.8,0.000192467,617248.764
226,525200,1.2975034,103.7725654,5490.22451,53.44444444,0.000182142,293421.9988
227,525261,1.3693447,103.8484906,4949.426951,45.9,0.000202044,227178.6971
228,525292,1.355831,103.8744006,4714.962121,92.18181818,0.000212091,434633.781
229,526280,1.38946,103.857,5705.985648,75.11111111,0.000175255,428582.922
230,531902,1.3116026,103.8560235,17353.62963,50.11111111,5.76248E-05,869609.6626
231,532720,1.371947,103.720855,8191.755,94.16666667,0.000122074,771390.2625
232,532862,1.413262,103.828587,4934.152778,67,0.000202669,330588.2361
233,533282,1.352083,103.819836,4951.476278,14.2,0.00020196,70310.96314
