,id,medianinterval,mediandensity,medianlikes,likes/post
395,771482,30413.73333,3.29E-05,39,1186134.994
396,772034,214.5083333,0.004661824,17,3646.641315
397,780931,1425.8,0.000701361,36,51328.77363
398,782658,23.075,0.043336945,26,599.9499965
399,783765,1117.533333,0.000894828,18.5,20674.36424
400,784096,51.47541667,0.019426749,15,772.1312506
401,784368,1880,0.000531915,18.5,34779.99304
402,785393,108,0.009259259,11,1188.000033
403,787235,5251.308333,0.000190429,22,115528.6222
404,794418,109.2205556,0.009155786,47,5133.365939
405,799663,9.552060185,0.104689458,14,133.7288421
406,800039,14.39,0.069492703,26,374.1400014
407,800793,310628.5,3.22E-06,14.5,4504112.721
408,801096,39.65805556,0.025215558,31,1229.399722
409,801287,11594.26667,8.62E-05,33,382610.9137
410,801439,16474.13333,6.07E-05,15,247112.0835
411,801580,21.19268519,0.047186092,34,720.5513014
412,802946,140.9643056,0.007093994,14.5,2043.982558
413,809143,1288.5,0.000776096,52.5,67646.27056
414,812333,11.53520833,0.086691109,44.5,513.3167693
415,812895,6354.058333,0.00015738,38.5,244630.8298
416,813269,11.94892361,0.083689547,24,286.7741655
417,813293,10063.85,9.94E-05,5,50319.22516
418,813314,1189.008333,0.000841037,8.5,10106.57082
419,813626,29.01663194,0.034462994,5,145.0831579
420,817129,20.10611111,0.049736122,30.5,613.2363919
421,820885,6.3415625,0.157689844,16,101.4649999
422,821810,8974.333333,0.000111429,16,143589.1913
423,823732,11272.05,8.87E-05,25,281801.2737
424,826509,602095,1.66E-06,27,16256540.25
425,826783,446.8552778,0.002237861,16.5,7373.112092
426,828095,28397.5,3.52E-05,20,567949.4752
427,828507,9.351793981,0.106931355,24,224.4430551
428,832043,423.6166667,0.002360625,135,57188.24464
429,833223,28.57833333,0.034991544,53,1514.651654
430,833340,119.415,0.008374157,27,3224.205135
431,833403,11.15,0.089686099,5,55.74999979
432,833438,3312.15,0.000301919,20,66242.93271
433,833677,39.94555556,0.025034074,85,3395.372243
434,835587,4116.925,0.0002429,135.5,557842.7336
435,836153,2.528587963,0.39547764,82,207.3442129
436,836772,4.236134259,0.236064284,103,436.3218283
437,837940,144.4466667,0.00692297,30,4333.40026
438,838969,188.0965394,0.005316419,5,940.482682
439,843643,2986.083333,0.000334887,87,259789.1229
440,843745,10519.2,9.51E-05,30,315575.8786
441,844047,49.30277778,0.020282833,43,2120.019427
442,845799,419.55,0.002383506,42,17621.10102
443,845966,382324,2.62E-06,13,4970216.931
444,847140,650.2083333,0.001537969,48.5,31535.09596
445,848178,168.8633333,0.005921949,68,11482.70612
446,848955,1362.5,0.000733945,13.5,18393.74885
447,848956,36.66041667,0.027277377,23,843.1895779
448,849744,122.6830556,0.008151085,23,2821.710239
449,854222,308.9583333,0.003236682,109.5,33830.94169
450,855932,893.2166667,0.001119549,84,75030.21306
451,856020,14161.71667,7.06E-05,22,311557.8032
452,856869,139.6166667,0.007162469,27,3769.649823
453,857403,13.37375,0.074773343,29.5,394.5256266
454,857721,6514.1,0.000153513,160.5,1045514.061
455,864766,727.4166667,0.001374728,21.5,15639.45741
456,865756,1330.458333,0.000751621,38.5,51222.62417
457,866043,5904.983333,0.000169348,50,295250.0177
458,866699,7.805833333,0.12810932,40,312.2333332
459,868982,4144.925,0.000241259,32.5,134710.0005
460,871421,119.0619444,0.008398989,15,1785.929235
461,877057,41.47619213,0.024110217,5,207.3809622
462,879557,1101.083333,0.000908196,118,129927.901
463,880672,37.06666667,0.026978417,14,518.9333385
464,881505,83.52722222,0.011972145,173,14450.20921
465,881761,6832.85,0.000146352,25,170821.0342
466,882338,4997.908333,0.000200084,23,114951.7203
467,882922,46.55277778,0.021480995,18,837.9500112
468,883787,83.00777778,0.012047064,25,2075.194421
469,884916,215.7188889,0.004635663,23.5,5069.393526
470,885354,5.97787037,0.167283654,27,161.4025002
471,891817,40.8618287,0.024472718,12,490.3419391
472,891833,125.575,0.007963369,156.5,19652.48628
473,892233,196.4166667,0.005091218,28,5499.666288
474,893357,4.364907407,0.229099934,27,117.8525001
475,894013,273.89,0.003651101,22,6025.579681
476,894858,17.06055556,0.058614738,16,272.9688905
477,895105,5579.116667,0.00017924,13,72528.45347
478,895244,203.9158333,0.004903984,26,5301.811751
479,895565,1283.766667,0.000778958,33,42364.28665
480,895606,51.31666667,0.019486846,27.5,1411.208361
481,895895,32.51666667,0.03075346,37,1203.116657
482,897235,149.5,0.006688963,18,2691.000085
483,904648,9.732476852,0.102748767,20,194.6495377
484,907828,12437.4,8.04E-05,35,435308.7645
485,913707,223.1980556,0.004480326,17,3794.366749
486,916513,3896,0.000256674,29,112983.7849
487,917961,44.89759259,0.022272909,5,224.4879643
488,918636,10.27319444,0.097340706,95.5,981.0900693
489,920193,37.04097222,0.026997132,39.5,1463.118379
490,921678,84.34597222,0.011855931,18.5,1560.400444
491,927300,18.285,0.054689636,139,2541.615015
492,927580,120.6538889,0.00828817,100,12065.38959
493,927963,9663,0.000103488,23.5,227079.4682
494,930182,49.72638889,0.020110047,18,895.0749842
495,935683,1892.658333,0.000528357,87,164661.3937
496,936988,13.9237963,0.071819494,44,612.6470342
497,937624,101.0401389,0.009897057,33.5,3384.844606
498,937694,1305.816667,0.000765804,22,28727.97739
499,938453,72.98694444,0.01370108,5,364.9347351
500,940151,3104.275,0.000322136,25,77606.97345
501,940319,852.7875,0.001172625,45,38375.43972
502,945007,1138.223611,0.000878562,11,12520.45957
503,945234,771845,1.30E-06,12,9262117.938
504,947366,161.3437847,0.006197946,19,3065.53171
505,947588,194.8641667,0.00513178,47,9158.615529
506,948397,4.909884259,0.203670789,38.5,189.0305438
507,949308,1069.491667,0.000935024,50,53474.56322
508,949475,3089.333333,0.000323694,24,74144.09906
509,950344,289.025,0.003459908,26.5,7659.163192
510,952300,41.86551505,0.023886007,60.5,2532.863697
511,956403,690.5,0.001448226,19.5,13464.74929
512,957744,1926.55,0.000519063,69.5,133895.1149
513,958134,4675.733333,0.00021387,12,56108.85117
514,962784,4209.408333,0.000237563,5,21047.04857
515,963279,829.7666667,0.001205158,22,18254.86783
516,964790,20.35152778,0.04913636,17,345.9759738
517,973915,15.25069444,0.065570785,37,564.2756908
518,977390,1088.4,0.00091878,27,29386.79553
519,979017,30.32888889,0.032971864,26,788.5511113
520,982341,12.16083333,0.082231207,75,912.0624971
521,986137,4.652175926,0.214953178,33,153.5218056
522,988546,20.49222222,0.048799002,81,1659.870011
523,989094,41.7100463,0.023975039,42,1751.821968
524,990176,1466.933333,0.000681694,65,95350.69987
525,991706,109.1136806,0.009164754,28.5,3109.73977
526,997587,17.355,0.057620282,19,329.7450019
527,998675,2515.716667,0.000397501,58.5,147169.4411
528,999253,8.214849537,0.121730775,17,139.652442
529,1001985,55.47833333,0.018025055,33.5,1858.524149
530,1002492,98.6478125,0.010137072,40,3945.912587
531,1003504,81.56222222,0.012260578,19,1549.682242
532,1005623,45.45,0.0220022,28,1272.600013
533,1005928,225.7829167,0.004429033,38.5,8692.642389
534,1012676,36.28513889,0.027559492,40,1451.405563
535,1013263,1576.708333,0.000634233,22,34687.5675
536,1016467,1724.233333,0.000579968,8,13793.86449
537,1016953,1979.241667,0.000505244,59.5,117764.8819
538,1023434,63.59875,0.015723579,26,1653.56755
539,1026994,233.3704167,0.004285033,11.5,2683.759962
540,1034435,27.94305556,0.035787067,26,726.5194435
541,1036580,942.0011111,0.00106157,45.5,42861.04543
542,1038182,738.25,0.001354555,35,25838.74409
543,1038631,65.03287037,0.015376839,51,3316.676464
544,1039013,11.87809028,0.084188618,13.5,160.354218
545,1039531,1141.483333,0.000876053,13,14839.28484
546,1039749,998.8833333,0.001001118,24,23973.19796
547,1040657,3.6,0.277777778,5,17.99999999
548,1042092,4506.966667,0.000221879,28,126194.908
549,1050323,26.80222222,0.037310339,41,1098.891114
550,1051674,77.63388889,0.012880973,13,1009.240529
551,1052075,70.08333333,0.014268728,30,2102.499957
552,1053149,296.9025,0.003368109,45.5,13509.06399
553,1053370,83.645625,0.011955198,58,4851.446208
554,1054161,4786.108333,0.000208938,13.5,64612.46877
